#Iteration cv_0 cv_1
0 -2.5524213 2.6709964
100 -2.3426101 2.5595808
200 -2.7116241 2.8022456
300 -2.5197393 2.731232
400 -2.7173866 2.7064759
500 -2.3262678 2.6475556
600 -2.6037661 2.7639126
700 -2.7950457 2.4437936
800 -2.5283655 2.7151247
900 -2.3286274 2.5026528
1000 -2.5966002 2.5148949
1100 -2.6807466 2.5134642
1200 -2.7738235 2.5438848
1300 -2.3449553 2.3118643
1400 -2.6698869 2.5360132
1500 -2.8056196 2.7616692
1600 -2.5743194 2.7694167
1700 -3.0484344 2.2671176
1800 -2.7862327 2.7626985
1900 -2.6169059 2.5150719
2000 -2.724733 2.8570258
2100 -2.1355892 2.5835487
2200 -2.9974711 2.7993471
2300 -2.6768452 2.8777389
2400 -2.4213468 2.5684237
2500 -2.5916017 2.7821044
2600 -2.7390996 3.0881605
2700 -2.4809288 -3.0414353
2800 -1.9632655 3.117187
2900 -1.653312 2.7565817
3000 -1.8264558 2.9216351
3100 -1.2539114 2.5431409
3200 -1.9037 2.5292547
3300 -2.0381443 2.3265798
3400 -2.0876373 2.4701554
3500 -1.9159904 2.5877547
3600 -1.5386048 2.7954359
3700 -0.99492414 2.5542276
3800 -0.8166008 2.6046962
3900 -1.0663841 2.3967059
4000 -1.3408912 2.6892719
4100 -1.3593502 2.6829428
4200 -1.2856606 2.7433715
4300 -0.84651166 2.7288493
4400 -1.1755975 2.5542288
4500 -1.3849669 2.789014
4600 -1.5629269 2.6940522
4700 -1.6009613 2.7996353
4800 -1.7591419 2.8090451
4900 -1.5130423 2.6799295
5000 -1.8832594 3.0746093
5100 -1.1906395 3.0573532
5200 -1.2147013 2.8870662
5300 -1.7599583 2.7283249
5400 -1.9020983 2.4143612
5500 -1.9787116 2.4062885
5600 -1.8926458 2.4025288
5700 -1.9360843 2.4120843
5800 -1.7695251 2.344029
5900 -2.0496106 2.4027411
6000 -2.5095092 2.5992133
6100 -2.3114145 2.8302598
6200 -2.4555515 2.7932968
6300 -1.8263811 3.1106129
6400 -1.1331571 -3.0443124
6500 -1.1205955 2.811246
6600 -0.76754026 2.6345863
6700 -0.71567324 2.1772983
6800 -0.83482842 2.1949567
6900 -0.7519891 2.2619478
7000 -0.88683794 2.2654142
7100 -1.152023 2.2495239
7200 -0.88247052 1.9492494
7300 -0.99607815 2.1286151
7400 -0.99397015 2.0579185
7500 -0.69811696 2.0575375
7600 -1.243113 1.8737299
7700 -1.1085434 1.9361178
7800 -1.5916705 2.0562906
7900 -1.3069068 1.9525931
8000 -2.1613212 2.005424
8100 -2.5574813 2.2899302
8200 -1.7707387 1.9450266
8300 -1.6522253 2.1446958
8400 -1.6017517 2.0332286
8500 -1.6091462 2.0959783
8600 -2.0579355 1.9678846
8700 -2.1804728 2.1088902
8800 -2.5042057 2.1326776
8900 -2.4667796 2.0881137
9000 -2.0673872 2.1351571
9100 -1.8424769 2.1734952
9200 -1.1720885 1.914259
9300 -1.4401917 2.037113
9400 -1.5155375 1.8251846
9500 -1.036768 2.0747348
9600 -1.4200964 1.8154446
9700 -1.4942594 1.8400268
9800 -1.6573111 1.854375
9900 -1.3895304 1.891917
10000 -1.4516252 2.0723567
10100 -1.1488593 2.5623958
10200 -1.3283648 2.27662
10300 -1.4691173 2.2879286
10400 -1.2492811 2.3836965
10500 -1.2042658 2.4739985
10600 -0.83717121 2.5897257
10700 -1.1529213 2.3812875
10800 -1.1568083 2.5290263
10900 -1.1142083 2.5123342
11000 -1.0321228 2.5657396
11100 -1.3810255 2.39409
11200 -1.0714722 2.5969164
11300 -1.0042052 2.5394958
11400 -1.3493712 2.4572388
11500 -0.9318388 2.5131693
11600 -1.9289125 2.70501
11700 -1.5990835 2.9497197
11800 -1.4866601 2.9569898
11900 -0.93472058 2.9577393
12000 -0.99975883 2.9869757
12100 -1.0110202 3.004958
12200 -0.90223966 2.9790188
12300 -1.3848731 3.017141
12400 -1.0341872 3.0305143
12500 -1.6352426 2.8926107
12600 -1.7348377 3.0226931
12700 -0.89135222 3.0253482
12800 -1.1118547 3.056819
12900 -1.0630649 3.0367273
13000 -1.1812764 3.0512536
13100 -0.81381523 3.0089611
13200 -1.0575622 3.0372508
13300 -0.49725048 2.944845
13400 -1.239472 3.0798005
13500 -0.80966853 3.0058099
13600 -0.95928844 3.0097569
13700 -1.1150147 3.0191805
13800 -0.98643354 3.047269
13900 -0.9208733 3.0200481
14000 -0.9134104 3.0301673
14100 -1.2176693 3.0546029
14200 -1.1648307 3.0644479
14300 -0.98411504 3.0388266
14400 -0.78141157 3.0039895
14500 -1.2879662 3.0572938
14600 -1.461362 3.0644411
14700 -1.3295779 3.0303853
14800 -0.90179304 3.0468262
14900 -1.0298687 3.0382177
15000 -1.1771307 3.0397271
15100 -1.0052468 3.0411137
15200 -1.1331012 3.0679636
15300 -1.28748 3.0981576
15400 -1.1225085 3.0479823
15500 -1.9145218 2.6092194
15600 -0.81167954 2.4780334
15700 -0.33156283 2.3377739
15800 -0.45180244 1.8441249
15900 -0.33395348 1.932168
16000 -0.27846963 2.1943805
16100 -0.27007379 2.2733689
16200 -0.041042789 2.040734
16300 -0.41543616 2.1995406
16400 -0.17599295 2.0224612
16500 -0.16874477 2.1378301
16600 0.075109859 1.7070952
16700 -0.28859263 2.1014386
16800 -0.11464798 1.7210765
16900 -0.5276651 1.7063582
17000 -0.37430005 1.5900799
17100 -0.27253203 1.91678
17200 -0.33072886 2.1515291
17300 -0.40066655 2.3287881
17400 -0.49261117 2.2992443
17500 -0.5255271 1.8181638
17600 0.27354911 1.1374642
17700 0.57492238 1.0887017
17800 0.745383 1.1923492
17900 0.88871108 1.1432539
18000 0.8298414 0.79303426
18100 0.80050095 1.1438491
18200 0.44669405 1.0986482
18300 0.88639569 0.92768408
18400 0.6857409 1.1349753
18500 0.91175937 0.86742167
18600 0.59251628 0.95125337
18700 0.70815212 0.91784699
18800 0.80750444 0.86210703
18900 0.54761219 1.1842227
19000 0.45712774 1.7244712
19100 0.42730827 1.4114721
19200 0.81789107 0.94269825
19300 0.8123852 1.3602704
19400 1.16106 1.3161414
19500 0.89319436 1.1964009
19600 0.89147099 1.4983154
19700 1.0715943 1.2435989
19800 1.0603936 1.6855418
19900 0.85437801 1.7918642
20000 0.970907 1.7657754
20100 1.0940811 2.2364861
20200 1.0698104 2.6275796
20300 1.1432809 2.588588
20400 1.1223675 2.7254869
20500 1.085902 2.8547363
20600 1.0008968 2.9002272
20700 1.1555804 2.5571648
20800 1.1913626 2.7707649
20900 1.2155105 2.7238523
21000 1.0555659 2.886806
21100 0.94129271 2.5449495
21200 1.2623662 2.8078885
21300 1.2993215 2.8014045
21400 1.2301233 2.7194467
21500 0.71662152 2.848329
21600 1.0531183 2.8233657
21700 1.2418094 2.7985914
21800 0.92642985 2.9038012
21900 1.2884357 2.809745
22000 0.83938163 2.8457011
22100 0.88861817 2.8909712
22200 1.1591573 2.6747695
22300 1.1698127 2.8611132
22400 0.95458474 2.8212772
22500 1.1312795 2.5288859
22600 0.76228888 2.51666
22700 0.83669428 2.2917544
22800 0.82932329 2.1512125
22900 0.66878344 2.5447208
23000 1.011101 2.5759464
23100 1.2067393 2.0822989
23200 0.76653142 2.7691295
23300 0.67117077 2.7385265
23400 0.56755093 2.5723795
23500 1.3156196 1.8848305
23600 1.2343377 1.4966575
23700 1.2263647 1.1342471
23800 1.2557523 0.89070931
23900 1.2993165 1.116867
24000 1.2470754 1.1918836
24100 1.2582158 1.2440215
24200 1.2700342 1.2756073
24300 1.3196499 0.65496576
24400 1.3108606 1.132636
24500 1.3089265 0.95390828
24600 1.2679103 0.73881256
24700 1.2053787 0.81023125
24800 1.2383103 0.46638067
24900 1.3031297 0.19919053
25000 0.7956818 0.66184838
25100 0.72092739 0.84168679
25200 0.71074567 1.2005256
25300 0.78665093 1.2736842
25400 0.65983378 1.2611624
25500 0.46089012 1.0126056
25600 0.5305991 0.74780263
25700 0.80773905 1.0974469
25800 0.49403508 1.2255776
25900 0.59406835 1.5435298
26000 0.38625157 2.3768447
26100 0.13429931 2.5940307
26200 0.16897137 2.4803188
26300 0.17337227 2.6221629
26400 0.22061936 2.4786464
26500 0.34017 2.4391251
26600 0.42686817 2.6922711
26700 0.70576611 2.6112757
26800 0.29508737 2.545883
26900 0.32017587 2.3153882
27000 0.74646671 1.9712901
27100 0.56239043 1.9222289
27200 0.55322585 1.4314023
27300 0.51584569 1.6082678
27400 0.73102138 1.8195146
27500 0.75693009 1.7777843
27600 1.2259645 1.1602275
27700 1.2273731 1.9980888
27800 1.1854023 2.1560648
27900 1.3170735 2.001594
28000 0.89909834 1.8616042
28100 1.4443015 1.2879487
28200 1.2999542 1.2531086
28300 1.5386516 1.0429163
28400 1.4596469 1.2432767
28500 1.5170599 0.88573932
28600 1.3640351 0.69138097
28700 1.4428475 1.0036725
28800 1.2437652 1.2797744
28900 1.5233406 1.0714392
29000 1.4813393 0.98183992
29100 1.4077058 1.0907266
29200 1.4040677 0.96821392
29300 1.5503325 0.25439515
29400 1.1109638 0.59253839
29500 1.2752993 0.60959012
29600 1.5175715 0.22394392
29700 1.3472984 0.52159285
29800 1.1968349 0.38290418
29900 0.95301158 0.58755302
30000 0.76011552 0.60002477
30100 0.88029461 0.21228675
30200 0.9191575 0.079229458
30300 0.74782901 0.61007991
30400 0.84154331 0.18411886
30500 0.5078444 0.58365416
30600 1.6343069 -0.013496314
30700 1.2588311 0.11402898
30800 1.261162 -0.062256007
30900 1.3556919 -0.19780934
31000 1.168561 0.15161301
31100 0.52838103 0.58439376
31200 0.93838724 0.34184484
31300 0.63079517 0.40431971
31400 0.46717547 0.64127559
31500 0.65506398 0.34340752
31600 0.6986488 0.41425195
31700 0.73876871 0.37225934
31800 0.64647374 0.42729202
31900 0.3386487 0.60727434
32000 0.64272463 0.3721848
32100 0.70731225 0.31565345
32200 0.88022497 0.21247383
32300 0.62083219 0.39657417
32400 0.68496868 0.46899254
32500 0.8027991 0.23513122
32600 0.33165968 0.59855472
32700 0.16300994 0.82866443
32800 0.32329393 0.53582833
32900 0.39170391 0.4507387
33000 0.37326687 0.5801458
33100 1.1254234 -0.051016332
33200 0.88524252 0.10928371
33300 1.1704978 -0.030310436
33400 0.95554929 0.10049912
33500 0.16695589 0.72894169
33600 0.71609821 0.26558339
33700 1.3021674 0.089337703
33800 1.2930521 -0.17402168
33900 1.4329542 -0.27408706
34000 1.370245 -0.13810622
34100 1.330201 -0.30289714
34200 0.56278253 0.48392293
34300 0.70292528 0.22868738
34400 1.1144669 -0.079709762
34500 0.93280109 -0.013917304
34600 0.92131017 -0.15342605
34700 1.1599247 -0.1003351
34800 0.92017706 -0.043395171
34900 0.97278422 -0.12183105
35000 1.1819914 -0.024773803
35100 1.1496129 -0.28487641
35200 0.94020524 -0.021883355
35300 0.87251406 -0.049665338
35400 1.1080834 -0.19381757
35500 1.0397184 -0.12611031
35600 1.14859 -0.090422496
35700 1.718221 0.25164619
35800 1.6126657 0.019917546
35900 1.7670346 0.14428436
36000 1.8501928 -0.2005182
36100 1.8703096 0.12598545
36200 1.697052 0.28195954
36300 1.5296852 0.2797916
36400 1.7178913 0.14677111
36500 1.6753818 -0.074315379
36600 1.5232068 0.61564938
36700 1.741505 0.89001505
36800 1.7415268 0.89639879
36900 1.56545 0.92941652
37000 1.8678045 0.83152557
37100 1.3047461 0.52327888
37200 1.1270085 0.93045216
37300 0.44505565 1.7969501
37400 0.19646733 1.5616315
37500 0.24691628 1.4038605
37600 -0.57827306 2.0317331
37700 -1.7412271 2.2163364
37800 -1.7389075 2.1651131
37900 -0.9935011 1.5988612
38000 -1.0242681 2.0051347
38100 -1.067431 1.9893569
38200 -1.0770542 1.9038093
38300 -1.2974892 1.961969
38400 -1.0357897 1.9470703
38500 -1.2159711 1.9249607
38600 -1.1701677 1.9997992
38700 -1.1342343 1.9350967
38800 -1.3939633 1.6712868
38900 -1.4601578 1.9814457
39000 -1.669416 2.1341493
39100 -1.7283685 2.1485806
39200 -1.5632096 2.060957
39300 -2.6194508 2.4878414
39400 -3.0213632 2.4107144
