#Iteration center.0 center.1 sigma.0 sigma.1 height
0 -2.5524213 2.6709964 0.3 0.3 0.3
1000 -2.3153906 2.6226677 0.3 0.3 0.3
2000 -2.3101457 2.7511389 0.3 0.3 0.3
3000 -2.2519416 2.729819 0.3 0.3 0.3
4000 -1.630752 2.7909415 0.3 0.3 0.3
5000 -1.6286353 2.691156 0.3 0.3 0.3
6000 -1.5890922 2.6583702 0.3 0.3 0.3
7000 -1.6065698 2.5026074 0.3 0.3 0.3
8000 -1.3921571 2.4167887 0.3 0.3 0.3
9000 -1.5115937 3.0742004 0.3 0.3 0.3
10000 -1.1961543 2.5931588 0.3 0.3 0.3
11000 -1.2414384 2.4672861 0.3 0.3 0.3
12000 -1.13355 2.7109005 0.3 0.3 0.3
13000 -1.0050066 2.7874365 0.3 0.3 0.3
14000 -0.95610446 2.5847593 0.3 0.3 0.3
15000 -1.0567818 2.1641868 0.3 0.3 0.3
16000 -1.5954005 2.5624363 0.3 0.3 0.3
17000 -1.2167828 2.6231199 0.3 0.3 0.3
18000 -1.5775603 2.6610162 0.3 0.3 0.3
19000 -1.2383954 2.624041 0.3 0.3 0.3
20000 -1.3772478 2.8625599 0.3 0.3 0.3
21000 -1.0093133 2.7403361 0.3 0.3 0.3
22000 -0.96190966 2.2321089 0.3 0.3 0.3
23000 -1.6018072 2.828171 0.3 0.3 0.3
24000 -2.2828398 -3.1028843 0.3 0.3 0.3
25000 -1.5265142 2.4126041 0.3 0.3 0.3
26000 -1.8863563 2.725874 0.3 0.3 0.3
27000 -3.0899496 2.7439424 0.3 0.3 0.3
28000 -1.6870383 3.012744 0.3 0.3 0.3
29000 -1.2209676 2.8062417 0.3 0.3 0.3
30000 -1.2324754 2.6791316 0.3 0.3 0.3
31000 -1.4351899 2.2869211 0.3 0.3 0.3
32000 -1.1841653 2.6011858 0.3 0.3 0.3
33000 -1.3270568 2.7594851 0.3 0.3 0.3
34000 -2.388136 2.8897592 0.3 0.3 0.3
35000 -1.9537181 1.6984908 0.3 0.3 0.3
36000 -1.9025919 2.7469602 0.3 0.3 0.3
37000 -2.6803516 2.1022353 0.3 0.3 0.3
38000 -2.5700555 2.4870258 0.3 0.3 0.3
39000 -2.3714311 2.8667057 0.3 0.3 0.3
40000 -2.8609842 2.6891996 0.3 0.3 0.3
