#Iteration cv_0 cv_1 cv_2 cv_3
0 -2.3721514 2.9559969 -2.4899716 2.8180663
1000 -2.4440072 2.6488668 -2.2847602 2.3242135
2000 -2.2303731 2.9053431 -2.0638014 2.604592
3000 -2.1875806 2.2340963 -1.9978447 2.596034
4000 -2.4241774 2.5289598 -2.1873188 2.6771068
5000 -1.1354566 2.589354 -2.2729816 1.5299215
6000 -2.542103 2.916955 -1.4526307 2.5174431
7000 -1.2185203 2.3816662 -2.2634341 2.3438286
8000 -2.8035483 2.8184484 -1.2941747 2.4746651
9000 -1.9733873 2.6321959 -1.3248637 2.2594439
10000 -1.8960989 2.4859485 -2.1211265 2.4989167
11000 -1.4706175 2.7501572 -2.8450539 2.888378
12000 -2.0312581 2.8286373 -1.5328571 1.8980716
13000 -2.4063069 2.897203 -2.6841351 -3.0896288
14000 -1.6988954 2.7894363 -2.3927898 2.4742334
15000 -2.435231 2.8537192 -1.0526133 -0.24649186
16000 -2.6227884 2.9948072 -2.7185647 2.9915779
17000 -2.0136092 2.2319244 -2.4671469 2.3296224
18000 -2.5938993 -3.0647358 -2.4669999 2.579673
19000 -2.041567 2.9113676 -1.4491092 2.6052116
20000 -2.6534047 2.82492 -1.9372824 2.5179534
21000 -2.3300957 2.9606469 -2.439857 2.909698
22000 -2.5166202 2.4526729 -2.5309712 2.7579352
23000 -2.3766692 2.5298424 -2.2928832 2.8588437
24000 -2.5556053 2.9385471 -2.4708869 2.5530892
25000 -2.5109272 2.8436465 -2.2566954 2.6408637
26000 -2.5800046 2.6109615 -2.5292388 2.8720582
27000 -2.1749566 2.796086 -2.8698549 -3.12063
28000 -1.8056911 2.6423695 -1.7043219 2.7829967
29000 -1.6044682 0.93581216 -1.9245517 2.7543807
30000 -1.8984593 2.671527 -1.8672059 2.7176245
31000 -1.2891307 1.4319367 -1.1355446 0.22576114
32000 -1.2056975 0.66717067 -1.3200002 0.90252574
33000 -1.5296134 2.3028154 -2.3756158 2.3870651
34000 -1.1920005 2.1732574 -2.8296982 3.0237549
35000 -1.1651445 1.0161558 -1.4363206 0.80371187
36000 -1.2390417 1.0356896 -1.4292134 0.76148797
37000 -1.4592379 1.0999088 -1.2680166 0.37896048
38000 -1.4253972 0.88570214 -1.2745995 0.35051856
39000 -1.6420686 1.1543452 -1.4668308 0.51968426
40000 -1.3219599 0.96827297 -1.7622261 0.16950395
41000 -1.4813205 1.8909248 -1.2206934 2.7571405
42000 -1.1530105 2.0259777 -2.1869558 2.6510059
43000 -2.5714331 2.7204792 -1.2335766 0.79051672
44000 -2.7305393 2.2681124 -1.3714346 0.7624988
45000 -2.4714532 3.1282588 -1.4837794 0.98656879
46000 -2.043974 2.6046883 -1.4855465 1.1302346
47000 -2.7553414 2.8166204 -1.3762159 1.4446456
48000 -2.4892742 2.649465 -1.3483042 0.66698318
