#Iteration cv_0 cv_1 cv_2
1000 16.11221 3.451037 2.7650061
2000 7.2621643 2.3885363 1.9449817
3000 11.594208 5.5392958 2.2197511
4000 19.228908 4.2430321 0.84956961
5000 6.9772544 2.7899059 1.4005113
6000 17.944057 2.163762 1.7284494
7000 11.118899 3.2898212 3.7252998
8000 11.666792 2.3145729 1.1019739
9000 6.9055767 1.6452456 2.0662694
10000 18.537111 2.4496296 2.0506724
11000 19.282201 4.6796268 2.8247148
12000 18.340706 4.5436634 1.8477228
13000 17.00472 7.0438749 2.9957492
14000 19.218776 4.0927453 1.3383305
15000 17.856901 4.0188181 3.2571155
16000 18.704798 2.3769827 1.8778866
17000 16.32172 2.6538061 2.1862753
18000 16.25768 1.6647625 0.91310284
19000 14.215458 1.9516706 1.985542
20000 12.844802 1.8000139 1.967802
21000 8.0991287 0.99612208 1.6658384
22000 8.750101 3.6585229 1.5669841
23000 9.9043254 4.1646176 3.4156289
24000 8.7221033 4.5170388 2.049261
25000 5.454339 2.8644252 1.8093969
26000 5.2265322 3.9974998 1.8616346
27000 4.5456326 3.1445612 2.2761849
28000 1.6305498 4.7284865 1.7689097
29000 4.1710288 4.5966854 3.0315535
30000 5.822291 4.4253996 2.0674224
31000 7.5011247 5.1089571 2.5858325
32000 6.6540962 2.3517923 0.61713267
33000 6.5676038 4.800888 2.6983089
34000 6.5960576 5.9432892 1.5502153
35000 3.0306559 1.5179836 2.604159
36000 3.203799 1.6319483 4.5113886
37000 4.0526452 3.0618818 1.9076548
38000 2.6342815 3.0375252 2.3045411
39000 2.9381483 2.7051331 2.2290893
40000 4.5979011 2.4801026 2.1746546
41000 3.6884539 2.8876377 1.8879203
42000 6.6910617 2.032296 1.0993103
43000 5.8252137 2.5882446 2.5293815
44000 8.7357296 2.812091 1.9602598
45000 7.7832174 2.8784669 2.826885
46000 8.2794268 2.9286789 1.6730569
47000 7.5561543 1.8713978 1.6352064
48000 8.2950073 3.9805193 1.1021414
49000 9.4408351 3.1716388 1.5597438
50000 7.7755503 1.1984487 2.0260136
51000 3.5915883 2.8805951 3.8694415
52000 5.2917826 4.546136 2.2687191
53000 6.0857019 2.815207 2.3947299
54000 7.1332115 3.641844 1.7801544
55000 5.259147 4.4943832 0.85101284
56000 3.237612 3.8713179 1.1870773
57000 5.4868771 6.1464232 1.4418738
58000 5.2012452 4.3821686 1.135045
59000 5.4390339 6.584908 1.072346
60000 3.6327464 4.8117527 1.977115
61000 4.5587558 3.7403098 2.6286616
62000 5.6431959 3.0442186 2.8045592
63000 7.4090829 3.4056729 1.2628274
64000 6.804836 3.1051033 3.0180539
65000 5.3911757 4.8329103 3.5196776
66000 5.3637076 5.0539745 1.7314151
67000 5.2036431 4.7048293 1.3259793
68000 7.0425587 4.1106652 1.8636573
